tract_geoid,county_name,state,tier,households,median_family_income,lmi_flag,lmi_basis,all_applications,all_originations,subject_originations,unmet_originations,all_origination_amt,capture_rate_pct,outside_footprint,basis_absolute,basis_per_household,basis_per_application,basis_uncaptured_apps,opportunity_type,lmi_undetermined,tract_partly_unmeasured
55133202001,Waukesha County,WI,metro,2143,132279,False,ffiec_ratio,259.0,190.0,5.0,185.0,49370000.0,2.632,True,185.0,0.08633,0.71429,252.18,siting - outside the footprint,False,False
55131440104,Washington County,WI,metro,2731,113149,False,ffiec_ratio,272.0,185.0,0.0,185.0,41475000.0,0.0,False,185.0,0.06774,0.68015,272.0,"conversion - present, capturing none",False,False
55009940008,Brown County,WI,metro,3333,112083,False,ffiec_ratio,233.0,200.0,16.0,184.0,118740000.0,8.0,False,184.0,0.05521,0.7897,214.36,"conversion - present, under-capturing",False,False
55015020800,Calumet County,WI,metro,2391,133048,False,ffiec_ratio,258.0,189.0,5.0,184.0,45195000.0,2.646,False,184.0,0.07696,0.71318,251.17,"conversion - present, under-capturing",False,False
55131470202,Washington County,WI,metro,2415,131522,False,ffiec_ratio,252.0,191.0,7.0,184.0,46725000.0,3.665,False,184.0,0.07619,0.73016,242.76,"conversion - present, under-capturing",False,False
17197883212,Will County,IL,metro,2241,172857,False,ffiec_ratio,306.0,184.0,0.0,184.0,55680000.0,0.0,True,184.0,0.08211,0.60131,306.0,siting - outside the footprint,False,False
17031081300,Cook County,IL,metro,3838,219531,False,ffiec_ratio,352.0,184.0,1.0,183.0,76830000.0,0.543,False,183.0,0.04768,0.51989,350.09,"conversion - present, under-capturing",False,False
17097864402,Lake County,IL,metro,2857,213750,False,ffiec_ratio,319.0,185.0,2.0,183.0,74915000.0,1.081,False,183.0,0.06405,0.57367,315.55,"conversion - present, under-capturing",False,False
55025013302,Dane County,WI,metro,2416,110913,False,ffiec_ratio,245.0,184.0,1.0,183.0,50940000.0,0.543,True,183.0,0.07575,0.74694,243.67,siting - outside the footprint,False,False
17031829800,Cook County,IL,metro,2339,162614,False,ffiec_ratio,356.0,182.0,0.0,182.0,47400000.0,0.0,True,182.0,0.07781,0.51124,356.0,siting - outside the footprint,False,False
17111870605,McHenry County,IL,metro,2839,134478,False,ffiec_ratio,283.0,184.0,2.0,182.0,33640000.0,1.087,True,182.0,0.06411,0.64311,279.92,siting - outside the footprint,False,False
55025011104,Dane County,WI,metro,1587,214640,False,ffiec_ratio,242.0,183.0,1.0,182.0,78145000.0,0.546,False,182.0,0.11468,0.75207,240.68,"conversion - present, under-capturing",False,False
17043846514,DuPage County,IL,metro,1406,155365,False,ffiec_ratio,283.0,182.0,0.0,182.0,63110000.0,0.0,True,182.0,0.12945,0.64311,283.0,siting - outside the footprint,False,False
55133200801,Waukesha County,WI,metro,1985,137917,False,ffiec_ratio,249.0,183.0,1.0,182.0,63155000.0,0.546,False,182.0,0.09169,0.73092,247.64,"conversion - present, under-capturing",False,False
55101001801,Racine County,WI,metro,2209,108683,False,ffiec_ratio,245.0,182.0,1.0,181.0,43450000.0,0.549,True,181.0,0.08194,0.73878,243.65,siting - outside the footprint,False,False
17163503907,St. Clair County,IL,metro,2110,123438,False,ffiec_ratio,313.0,181.0,0.0,181.0,45655000.0,0.0,True,181.0,0.08578,0.57827,313.0,siting - outside the footprint,False,False
55135101100,Waupaca County,WI,rural,2344,78269,True,ffiec_ratio,281.0,185.0,4.0,181.0,25765000.0,2.162,False,181.0,0.07722,0.64413,274.92,"conversion - present, under-capturing",False,False
17197883516,Will County,IL,metro,2397,164900,False,ffiec_ratio,290.0,181.0,0.0,181.0,70185000.0,0.0,True,181.0,0.07551,0.62414,290.0,siting - outside the footprint,False,False
55009010300,Brown County,WI,metro,3429,113225,False,ffiec_ratio,251.0,195.0,15.0,180.0,38575000.0,7.692,False,180.0,0.05249,0.71713,231.69,"conversion - present, under-capturing",False,False
55073001600,Marathon County,WI,metro,2273,100000,False,ffiec_ratio,255.0,184.0,4.0,180.0,32850000.0,2.174,False,180.0,0.07919,0.70588,249.46,"conversion - present, under-capturing",False,False
17119402701,Madison County,IL,metro,2983,100107,False,ffiec_ratio,269.0,181.0,1.0,180.0,25425000.0,0.552,False,180.0,0.06034,0.66914,267.52,"conversion - present, under-capturing",False,False
55021971200,Columbia County,WI,metro,2527,93659,False,ffiec_ratio,267.0,194.0,14.0,180.0,41420000.0,7.216,False,180.0,0.07123,0.67416,247.73,"conversion - present, under-capturing",False,False
17031830003,Cook County,IL,metro,2673,113353,False,ffiec_ratio,432.0,180.0,0.0,180.0,37430000.0,0.0,True,180.0,0.06734,0.41667,432.0,siting - outside the footprint,False,False
17197880323,Will County,IL,metro,2815,219083,False,ffiec_ratio,312.0,180.0,0.0,180.0,71400000.0,0.0,True,180.0,0.06394,0.57692,312.0,siting - outside the footprint,False,False
17113000109,McLean County,IL,metro,1956,127400,False,ffiec_ratio,254.0,180.0,0.0,180.0,50970000.0,0.0,True,180.0,0.09202,0.70866,254.0,siting - outside the footprint,False,False
17113005102,McLean County,IL,metro,2838,128490,False,ffiec_ratio,257.0,180.0,0.0,180.0,37210000.0,0.0,True,180.0,0.06342,0.70039,257.0,siting - outside the footprint,False,False
55101000700,Racine County,WI,metro,2232,58872,True,ffiec_ratio,288.0,182.0,3.0,179.0,25470000.0,1.648,False,179.0,0.0802,0.62153,283.25,"conversion - present, under-capturing",False,False
55009021600,Brown County,WI,metro,2441,101919,False,ffiec_ratio,267.0,193.0,14.0,179.0,38815000.0,7.254,True,179.0,0.07333,0.67041,247.63,siting - outside the footprint,False,False
55021970700,Columbia County,WI,metro,1904,115819,False,ffiec_ratio,268.0,184.0,5.0,179.0,44500000.0,2.717,True,179.0,0.09401,0.66791,260.72,siting - outside the footprint,False,False
17031800200,Cook County,IL,metro,2147,250001,False,ffiec_ratio,284.0,182.0,3.0,179.0,150510000.0,1.648,True,179.0,0.08337,0.63028,279.32,siting - outside the footprint,False,False
17099961701,LaSalle County,IL,micro,2632,138359,False,ffiec_ratio,290.0,180.0,1.0,179.0,42250000.0,0.556,True,179.0,0.06801,0.61724,288.39,siting - outside the footprint,False,False
55001950100,Adams County,WI,rural,1766,95290,False,ffiec_ratio,247.0,182.0,3.0,179.0,51060000.0,1.648,True,179.0,0.10136,0.7247,242.93,siting - outside the footprint,False,False
55105003102,Rock County,WI,metro,2107,96204,False,ffiec_ratio,249.0,179.0,1.0,178.0,48415000.0,0.559,False,178.0,0.08448,0.71486,247.61,"conversion - present, under-capturing",False,False
55071000300,Manitowoc County,WI,micro,2395,99118,False,ffiec_ratio,259.0,193.0,15.0,178.0,34895000.0,7.772,False,178.0,0.07432,0.68726,238.87,"conversion - present, under-capturing",False,False
17179021500,Tazewell County,IL,metro,2690,111454,False,ffiec_ratio,315.0,178.0,0.0,178.0,29570000.0,0.0,True,178.0,0.06617,0.56508,315.0,siting - outside the footprint,False,False
17063000102,Grundy County,IL,metro,2807,120159,False,ffiec_ratio,291.0,178.0,0.0,178.0,43310000.0,0.0,True,178.0,0.06341,0.61168,291.0,siting - outside the footprint,False,False
17197883211,Will County,IL,metro,2087,112325,False,ffiec_ratio,330.0,178.0,0.0,178.0,62790000.0,0.0,True,178.0,0.08529,0.53939,330.0,siting - outside the footprint,False,False
55133203802,Waukesha County,WI,metro,1999,154881,False,ffiec_ratio,255.0,186.0,9.0,177.0,50880000.0,4.839,False,177.0,0.08854,0.69412,242.66,"conversion - present, under-capturing",False,False
17089850710,Kane County,IL,metro,1945,148750,False,ffiec_ratio,320.0,179.0,2.0,177.0,38105000.0,1.117,True,177.0,0.091,0.55313,316.43,siting - outside the footprint,False,False
55009000700,Brown County,WI,metro,2117,76357,True,ffiec_ratio,274.0,195.0,18.0,177.0,28965000.0,9.231,False,177.0,0.08361,0.64599,248.71,"conversion - present, under-capturing",False,False
17089851911,Kane County,IL,metro,1482,185202,False,ffiec_ratio,299.0,177.0,0.0,177.0,56355000.0,0.0,False,177.0,0.11943,0.59197,299.0,"conversion - present, capturing none",False,False
17163504356,St. Clair County,IL,metro,1550,134500,False,ffiec_ratio,255.0,178.0,1.0,177.0,49660000.0,0.562,True,177.0,0.11419,0.69412,253.57,siting - outside the footprint,False,False
17163503304,St. Clair County,IL,metro,2672,76565,False,ffiec_ratio,306.0,179.0,2.0,177.0,32475000.0,1.117,True,177.0,0.06624,0.57843,302.58,siting - outside the footprint,False,False
55139002201,Winnebago County,WI,metro,2097,114151,False,ffiec_ratio,233.0,181.0,5.0,176.0,43745000.0,2.762,False,176.0,0.08393,0.75536,226.56,"conversion - present, under-capturing",False,False
55039042200,Fond du Lac County,WI,metro,2384,114091,False,ffiec_ratio,255.0,185.0,9.0,176.0,40395000.0,4.865,True,176.0,0.07383,0.6902,242.59,siting - outside the footprint,False,False
55027960300,Dodge County,WI,micro,2136,60814,False,ffiec_ratio,254.0,177.0,1.0,176.0,24065000.0,0.565,False,176.0,0.0824,0.69291,252.56,"conversion - present, under-capturing",False,False
55055101702,Jefferson County,WI,micro,2258,107768,False,ffiec_ratio,262.0,183.0,7.0,176.0,49115000.0,3.825,False,176.0,0.07795,0.67176,251.98,"conversion - present, under-capturing",False,False
55133203403,Waukesha County,WI,metro,2127,165611,False,ffiec_ratio,269.0,189.0,13.0,176.0,57375000.0,6.878,False,176.0,0.08275,0.65428,250.5,"conversion - present, under-capturing",False,False
55035001600,Eau Claire County,WI,metro,2357,135526,False,ffiec_ratio,287.0,181.0,6.0,175.0,49695000.0,3.315,True,175.0,0.07425,0.60976,277.49,siting - outside the footprint,False,False
55009020204,Brown County,WI,metro,2201,142882,False,ffiec_ratio,250.0,199.0,24.0,175.0,58095000.0,12.06,False,175.0,0.07951,0.7,219.85,"conversion - present, under-capturing",False,False
17089852806,Kane County,IL,metro,2419,164708,False,ffiec_ratio,278.0,175.0,0.0,175.0,54745000.0,0.0,True,175.0,0.07234,0.6295,278.0,siting - outside the footprint,False,False
55081950500,Monroe County,WI,micro,2856,112365,False,ffiec_ratio,265.0,175.0,1.0,174.0,38605000.0,0.571,True,174.0,0.06092,0.6566,263.49,siting - outside the footprint,False,False
55109120602,St. Croix County,WI,metro,2140,107174,False,ffiec_ratio,232.0,176.0,2.0,174.0,40290000.0,1.136,True,174.0,0.08131,0.75,229.36,siting - outside the footprint,False,False
55087012604,Outagamie County,WI,metro,1933,135559,False,ffiec_ratio,220.0,179.0,5.0,174.0,47965000.0,2.793,False,174.0,0.09002,0.79091,213.86,"conversion - present, under-capturing",False,False
55131450106,Washington County,WI,metro,2730,108750,False,ffiec_ratio,253.0,185.0,11.0,174.0,49535000.0,5.946,True,174.0,0.06374,0.68775,237.96,siting - outside the footprint,False,False
17019010603,Champaign County,IL,metro,2845,120947,False,ffiec_ratio,277.0,174.0,0.0,174.0,70370000.0,0.0,True,174.0,0.06116,0.62816,277.0,siting - outside the footprint,False,False
17027900300,Clinton County,IL,metro,2914,121667,False,ffiec_ratio,227.0,174.0,0.0,174.0,29670000.0,0.0,True,174.0,0.05971,0.76652,227.0,siting - outside the footprint,False,False
55063010205,La Crosse County,WI,metro,2092,148231,False,ffiec_ratio,231.0,180.0,7.0,173.0,58400000.0,3.889,True,173.0,0.0827,0.74892,222.02,siting - outside the footprint,False,False
55063010101,La Crosse County,WI,metro,2041,102450,False,ffiec_ratio,237.0,179.0,6.0,173.0,37365000.0,3.352,True,173.0,0.08476,0.72996,229.06,siting - outside the footprint,False,False
55139003703,Winnebago County,WI,metro,2283,135434,False,ffiec_ratio,249.0,179.0,6.0,173.0,37275000.0,3.352,False,173.0,0.07578,0.69478,240.65,"conversion - present, under-capturing",False,False
17119403702,Madison County,IL,metro,2195,158824,False,ffiec_ratio,256.0,174.0,1.0,173.0,41970000.0,0.575,True,173.0,0.07882,0.67578,254.53,siting - outside the footprint,False,False
55079160202,Milwaukee County,WI,metro,3057,129318,False,ffiec_ratio,274.0,182.0,9.0,173.0,115210000.0,4.945,False,173.0,0.05659,0.63139,260.45,"conversion - present, under-capturing",False,False
