tract_geoid,household_growth_z,median_income_z,deposit_growth_z,competitor_saturation_z,unmet_demand_z,opportunity_score,county_name,lmi_flag,growth_is_estimated
17081051000,-1.4955,-1.316,1.3144,-0.425,-1.4855,-0.5499,Jefferson County,True,False
17157951000,-1.566,0.002667,0.8136,-1.421,-0.7885,-0.5513,Randolph County,False,False
17167000700,-3.4685,-0.949333,1.7076,0.1165,-0.8275,-0.5514,Sangamon County,True,False
55101001003,0.342,-0.375333,-3.1616,0.6445,0.489,-0.5517,Racine County,True,False
17167001300,-2.6475,-1.138667,1.7076,-0.4925,-0.9045,-0.5528,Sangamon County,True,False
55139000400,-0.944,-0.763333,-1.6116,0.1565,0.605,-0.5539,Winnebago County,True,False
17005951300,0.355,-0.536,1.1276,-4.7785,0.644,-0.5543,Bond County,True,False
55139001700,-0.8315,0.201333,-1.6116,0.15,-0.227,-0.5544,Winnebago County,False,False
17011965300,-0.3675,-0.595333,0.1676,-1.8715,-0.3045,-0.5561,Bureau County,False,False
55079021100,-1.6095,-0.374667,-0.8024,0.7415,-0.6335,-0.5572,Milwaukee County,False,False
17025972200,-1.8315,-0.262,1.3584,-1.574,-0.8855,-0.5578,Clay County,False,False
55079021200,-0.901,-1.090667,-0.8024,0.6775,-0.75,-0.5589,Milwaukee County,True,False
17051950900,-0.708,-1.143333,1.3912,-2.053,-0.924,-0.5608,Fayette County,False,False
17115001801,-1.485,-0.052,-0.3352,-0.6935,-0.169,-0.5612,Macon County,False,False
17031301803,-1.2215,-0.604667,-0.4464,0.6975,-1.2725,-0.5616,Cook County,True,False
55079008500,0.0205,-1.354,-0.8024,0.654,-1.466,-0.5621,Milwaukee County,True,False
17119402600,-0.1015,-1.268667,-0.174,-0.7145,-0.8275,-0.5624,Madison County,True,False
55025000408,0.216,-1.077333,-0.7572,0.224,-1.505,-0.5639,Dane County,True,False
55139002900,-0.072,-1.104,-1.6116,0.6885,-0.595,-0.5641,Winnebago County,True,False
55079017000,-0.873,-1.039333,-0.8024,0.347,-0.5175,-0.5653,Milwaukee County,True,False
55079001600,-1.079,-1.204667,-0.8024,0.9265,-0.769,-0.5657,Milwaukee County,True,False
17031820604,-0.7055,-0.893333,-0.4464,0.0525,-0.963,-0.5688,Cook County,True,False
17057952800,-1.1815,-0.435333,0.4004,-1.088,-0.75,-0.5691,Fulton County,False,False
55079014800,-0.1505,-1.314667,-0.8024,0.6815,-1.3885,-0.5693,Milwaukee County,True,False
17097862605,-0.2775,-1.229333,-0.7972,0.5425,-1.195,-0.5698,Lake County,True,False
17031070103,-0.776,-0.300667,-0.4464,-0.137,-1.1565,-0.5704,Cook County,True,False
17031710100,-0.886,-1.434667,-0.4464,1.095,-1.4275,-0.5705,Cook County,True,False
55101002402,0.687,-0.253333,-3.1616,0.128,0.4695,-0.5714,Racine County,False,False
17115002602,-0.4075,0.156,-0.3352,-1.266,-0.8855,-0.5722,Macon County,False,False
17085020500,-0.3725,-0.712667,0.6464,-1.6645,-1.0985,-0.5724,Jo Daviess County,False,False
55079002100,-0.7875,-1.418,-0.8024,0.8515,-0.866,-0.5738,Milwaukee County,True,False
17015960600,-0.8185,-0.440667,0.2112,-0.868,-1.1175,-0.5742,Carroll County,False,False
17031826401,-1.997,-0.936667,-0.4464,0.723,-0.3435,-0.5756,Cook County,True,False
17035972500,-0.8295,-0.221333,0.8892,-2.102,-0.9045,-0.5781,Cumberland County,False,False
55079021800,-0.922,-0.683333,-0.8024,0.0605,-0.5175,-0.579,Milwaukee County,True,False
55009000302,-1.223,-0.849333,-0.7856,-0.466,0.4115,-0.5793,Brown County,True,False
17201001100,-1.59,-1.742667,0.5936,0.621,-1.3695,-0.5806,Winnebago County,True,False
55111000601,-3.403,0.632,1.242,-0.726,-0.808,-0.582,Sauk County,False,True
55079016400,-0.456,-1.228667,-0.8024,0.5485,-1.079,-0.5822,Milwaukee County,True,False
55079017200,-0.699,-0.670667,-0.8024,0.4885,-1.195,-0.5823,Milwaukee County,True,True
17195000800,-1.2515,-0.13,0.4884,-1.2495,-0.924,-0.5824,Whiteside County,False,True
