tract_geoid,county_name,tier,households,lmi_flag,lmi_basis,is_in_catchment,lenders_originating,all_applications,all_originations,all_origination_amt,subject_originations,subject_origination_amt,capture_rate_pct,competitor_originations,competitor_origination_amt
55021970200,Columbia County,metro,2110,True,ffiec_ratio,False,53,301.0,213.0,43095000.0,5.0,815000.0,2.347,208.0,42280000.0
17089850106,Kane County,metro,2427,False,ffiec_ratio,True,74,312.0,209.0,48665000.0,2.0,540000.0,0.957,207.0,48125000.0
55101002800,Racine County,metro,2413,False,ffiec_ratio,True,62,296.0,215.0,58115000.0,8.0,3070000.0,3.721,207.0,55045000.0
17089852101,Kane County,metro,2375,False,ffiec_ratio,False,81,326.0,209.0,85035000.0,2.0,290000.0,0.957,207.0,84745000.0
17113005401,McLean County,metro,2503,False,ffiec_ratio,False,59,281.0,207.0,55925000.0,0.0,0.0,0.0,207.0,55925000.0
55027960100,Dodge County,micro,2655,False,ffiec_ratio,False,72,293.0,212.0,53480000.0,6.0,10390000.0,2.83,206.0,43090000.0
17203030501,Woodford County,metro,2871,False,ffiec_ratio,False,45,346.0,206.0,44020000.0,0.0,0.0,0.0,206.0,44020000.0
55025000504,Dane County,metro,3164,False,ffiec_ratio,True,47,292.0,209.0,84995000.0,4.0,220000.0,1.914,205.0,84775000.0
55025012600,Dane County,metro,1771,False,ffiec_ratio,False,41,271.0,205.0,50485000.0,0.0,0.0,0.0,205.0,50485000.0
55105001303,Rock County,metro,1667,False,ffiec_ratio,True,60,282.0,211.0,54045000.0,7.0,1325000.0,3.318,204.0,52720000.0
17089854509,Kane County,metro,2447,False,ffiec_ratio,False,78,313.0,204.0,50930000.0,0.0,0.0,0.0,204.0,50930000.0
17119403701,Madison County,metro,2303,False,ffiec_ratio,False,68,305.0,204.0,58610000.0,1.0,105000.0,0.49,203.0,58505000.0
55093960500,Pierce County,metro,3582,False,ffiec_ratio,False,73,293.0,212.0,60490000.0,9.0,5455000.0,4.245,203.0,55035000.0
55105001201,Rock County,metro,2718,False,ffiec_ratio,False,46,267.0,208.0,35720000.0,5.0,795000.0,2.404,203.0,34925000.0
17037000600,DeKalb County,metro,2379,False,ffiec_ratio,False,68,306.0,203.0,46745000.0,0.0,0.0,0.0,203.0,46745000.0
17167003100,Sangamon County,metro,3347,False,ffiec_ratio,False,48,272.0,203.0,49965000.0,0.0,0.0,0.0,203.0,49965000.0
55079150100,Milwaukee County,metro,3676,False,ffiec_ratio,True,65,324.0,210.0,58240000.0,8.0,1560000.0,3.81,202.0,56680000.0
17163503322,St. Clair County,metro,2708,False,ffiec_ratio,True,75,355.0,206.0,43070000.0,4.0,620000.0,1.942,202.0,42450000.0
17133600401,Monroe County,metro,3132,False,ffiec_ratio,False,64,290.0,204.0,50440000.0,2.0,880000.0,0.98,202.0,49560000.0
55021970900,Columbia County,metro,2079,False,ffiec_ratio,False,56,279.0,212.0,57130000.0,10.0,2210000.0,4.717,202.0,54920000.0
17089852103,Kane County,metro,2228,False,ffiec_ratio,True,76,297.0,202.0,84460000.0,1.0,755000.0,0.495,201.0,83705000.0
55117000300,Sheboygan County,metro,2782,False,ffiec_ratio,True,59,272.0,210.0,33440000.0,10.0,1210000.0,4.762,200.0,32230000.0
55109120501,St. Croix County,metro,2560,True,ffiec_ratio,False,77,283.0,206.0,48030000.0,6.0,1310000.0,2.913,200.0,46720000.0
17093890106,Kendall County,metro,1686,False,ffiec_ratio,False,61,306.0,200.0,76610000.0,0.0,0.0,0.0,200.0,76610000.0
55025011406,Dane County,metro,2167,False,ffiec_ratio,True,44,269.0,201.0,62275000.0,2.0,370000.0,0.995,199.0,61905000.0
55095960800,Polk County,rural,3039,False,ffiec_ratio,False,58,291.0,201.0,49745000.0,3.0,795000.0,1.493,198.0,48950000.0
55017010700,Chippewa County,metro,3753,False,ffiec_ratio,False,51,311.0,201.0,55155000.0,3.0,605000.0,1.493,198.0,54550000.0
55073001300,Marathon County,metro,2977,False,ffiec_ratio,True,43,275.0,201.0,43005000.0,4.0,660000.0,1.99,197.0,42345000.0
55101001705,Racine County,metro,2266,False,ffiec_ratio,True,67,283.0,200.0,40200000.0,3.0,425000.0,1.5,197.0,39775000.0
17119402721,Madison County,metro,3310,False,ffiec_ratio,False,53,299.0,198.0,33240000.0,1.0,125000.0,0.505,197.0,33115000.0
17097864207,Lake County,metro,2552,False,ffiec_ratio,False,83,323.0,200.0,47120000.0,3.0,515000.0,1.5,197.0,46605000.0
55079187300,Milwaukee County,metro,2327,False,ffiec_ratio,True,66,277.0,200.0,47390000.0,5.0,1075000.0,2.5,195.0,46315000.0
55025013000,Dane County,metro,1861,False,ffiec_ratio,False,43,253.0,195.0,48825000.0,0.0,0.0,0.0,195.0,48825000.0
55025003100,Dane County,metro,2498,False,ffiec_ratio,True,44,264.0,196.0,41930000.0,2.0,120000.0,1.02,194.0,41810000.0
55089640202,Ozaukee County,metro,2668,False,ffiec_ratio,True,56,306.0,210.0,58760000.0,16.0,4450000.0,7.619,194.0,54310000.0
55009010100,Brown County,metro,2709,False,ffiec_ratio,True,51,267.0,218.0,70370000.0,24.0,21200000.0,11.009,194.0,49170000.0
55083101301,Oconto County,metro,1917,False,ffiec_ratio,False,48,258.0,203.0,49035000.0,9.0,3055000.0,4.433,194.0,45980000.0
55013970400,Burnett County,rural,2119,False,ffiec_ratio,False,86,303.0,195.0,46465000.0,1.0,15000.0,0.513,194.0,46450000.0
55017010200,Chippewa County,metro,3168,False,ffiec_ratio,True,52,286.0,197.0,35355000.0,4.0,770000.0,2.03,193.0,34585000.0
17097861106,Lake County,metro,2900,False,ffiec_ratio,False,71,313.0,193.0,53715000.0,0.0,0.0,0.0,193.0,53715000.0
17111871201,McHenry County,metro,2716,False,ffiec_ratio,True,76,285.0,193.0,76715000.0,1.0,35000.0,0.518,192.0,76680000.0
55133204202,Waukesha County,metro,1466,False,ffiec_ratio,True,62,247.0,197.0,56945000.0,5.0,1155000.0,2.538,192.0,55790000.0
17031839000,Cook County,metro,6828,False,ffiec_ratio,True,71,325.0,192.0,142560000.0,0.0,0.0,0.0,192.0,142560000.0
17031824123,Cook County,metro,2788,False,ffiec_ratio,False,79,324.0,192.0,39240000.0,0.0,0.0,0.0,192.0,39240000.0
17097864407,Lake County,metro,2050,False,ffiec_ratio,False,77,325.0,196.0,95170000.0,4.0,2060000.0,2.041,192.0,93110000.0
17119403604,Madison County,metro,3101,False,ffiec_ratio,False,58,270.0,192.0,33570000.0,0.0,0.0,0.0,192.0,33570000.0
55025010802,Dane County,metro,2163,False,ffiec_ratio,True,46,245.0,192.0,80940000.0,1.0,24005000.0,0.521,191.0,56935000.0
55105001202,Rock County,metro,2429,False,ffiec_ratio,False,47,260.0,195.0,49205000.0,4.0,580000.0,2.051,191.0,48625000.0
17089850600,Kane County,metro,3243,False,ffiec_ratio,True,61,275.0,190.0,51730000.0,0.0,0.0,0.0,190.0,51730000.0
17163503412,St. Clair County,metro,2343,False,ffiec_ratio,True,61,306.0,191.0,38745000.0,1.0,85000.0,0.524,190.0,38660000.0
55101002702,Racine County,metro,2858,False,ffiec_ratio,True,62,287.0,200.0,45370000.0,10.0,1090000.0,5.0,190.0,44280000.0
17037001400,DeKalb County,metro,2349,False,ffiec_ratio,False,57,304.0,190.0,42470000.0,0.0,0.0,0.0,190.0,42470000.0
55073001106,Marathon County,metro,2479,False,ffiec_ratio,True,56,257.0,195.0,41535000.0,6.0,800000.0,3.077,189.0,40735000.0
55025000407,Dane County,metro,1919,True,ffiec_ratio,True,41,253.0,189.0,44145000.0,0.0,0.0,0.0,189.0,44145000.0
55025013100,Dane County,metro,1991,False,ffiec_ratio,False,45,260.0,191.0,43215000.0,2.0,160000.0,1.047,189.0,43055000.0
55025011405,Dane County,metro,2741,False,ffiec_ratio,True,49,265.0,190.0,88530000.0,2.0,300000.0,1.053,188.0,88230000.0
17019000902,Champaign County,metro,2909,False,ffiec_ratio,False,59,293.0,188.0,60980000.0,0.0,0.0,0.0,188.0,60980000.0
55105001302,Rock County,metro,2564,False,ffiec_ratio,False,59,259.0,190.0,34630000.0,2.0,160000.0,1.053,188.0,34470000.0
17119402805,Madison County,metro,2157,False,ffiec_ratio,False,59,273.0,196.0,38950000.0,8.0,920000.0,4.082,188.0,38030000.0
17031320101,Cook County,metro,5606,False,ffiec_ratio,True,76,301.0,188.0,111430000.0,1.0,135000.0,0.532,187.0,111295000.0
55015020308,Calumet County,metro,2104,False,ffiec_ratio,True,55,246.0,191.0,61965000.0,4.0,1190000.0,2.094,187.0,60775000.0
55039041300,Fond du Lac County,metro,2661,True,ffiec_ratio,True,64,327.0,194.0,30730000.0,7.0,1295000.0,3.608,187.0,29435000.0
55025003001,Dane County,metro,1886,False,ffiec_ratio,True,38,253.0,190.0,32620000.0,3.0,295000.0,1.579,187.0,32325000.0
55117001000,Sheboygan County,metro,2774,False,ffiec_ratio,True,64,259.0,193.0,32175000.0,7.0,735000.0,3.627,186.0,31440000.0
17031824503,Cook County,metro,2842,False,ffiec_ratio,False,73,301.0,186.0,34100000.0,0.0,0.0,0.0,186.0,34100000.0
17089852500,Kane County,metro,2681,False,ffiec_ratio,False,74,289.0,187.0,40965000.0,1.0,75000.0,0.535,186.0,40890000.0
17167003603,Sangamon County,metro,2331,False,ffiec_ratio,False,47,234.0,186.0,51030000.0,0.0,0.0,0.0,186.0,51030000.0
17201004002,Winnebago County,metro,2356,False,ffiec_ratio,False,61,266.0,186.0,31960000.0,0.0,0.0,0.0,186.0,31960000.0
55025011800,Dane County,metro,2331,False,ffiec_ratio,False,44,266.0,187.0,35125000.0,1.0,635000.0,0.535,186.0,34490000.0
17201003801,Winnebago County,metro,2448,False,ffiec_ratio,True,59,281.0,190.0,44140000.0,5.0,505000.0,2.632,185.0,43635000.0
55131440104,Washington County,metro,2731,False,ffiec_ratio,True,59,272.0,185.0,41475000.0,0.0,0.0,0.0,185.0,41475000.0
55133202001,Waukesha County,metro,2143,False,ffiec_ratio,False,58,259.0,190.0,49370000.0,5.0,935000.0,2.632,185.0,48435000.0
55133204002,Waukesha County,metro,2237,False,ffiec_ratio,False,55,282.0,187.0,49165000.0,2.0,470000.0,1.07,185.0,48695000.0
55131470202,Washington County,metro,2415,False,ffiec_ratio,True,60,252.0,191.0,46725000.0,7.0,1555000.0,3.665,184.0,45170000.0
55015020800,Calumet County,metro,2391,False,ffiec_ratio,True,61,258.0,189.0,45195000.0,5.0,1265000.0,2.646,184.0,43930000.0
55009940008,Brown County,metro,3333,False,ffiec_ratio,True,51,233.0,200.0,118740000.0,16.0,3760000.0,8.0,184.0,114980000.0
17197883212,Will County,metro,2241,False,ffiec_ratio,False,71,306.0,184.0,55680000.0,0.0,0.0,0.0,184.0,55680000.0
17031081300,Cook County,metro,3838,False,ffiec_ratio,True,61,352.0,184.0,76830000.0,1.0,205000.0,0.543,183.0,76625000.0
17097864402,Lake County,metro,2857,False,ffiec_ratio,True,69,319.0,185.0,74915000.0,2.0,260000.0,1.081,183.0,74655000.0
55025013302,Dane County,metro,2416,False,ffiec_ratio,False,44,245.0,184.0,50940000.0,1.0,125000.0,0.543,183.0,50815000.0
55025011104,Dane County,metro,1587,False,ffiec_ratio,True,45,242.0,183.0,78145000.0,1.0,225000.0,0.546,182.0,77920000.0
55133200801,Waukesha County,metro,1985,False,ffiec_ratio,True,63,249.0,183.0,63155000.0,1.0,75000.0,0.546,182.0,63080000.0
17043846514,DuPage County,metro,1406,False,ffiec_ratio,False,51,283.0,182.0,63110000.0,0.0,0.0,0.0,182.0,63110000.0
17111870605,McHenry County,metro,2839,False,ffiec_ratio,False,76,283.0,184.0,33640000.0,2.0,190000.0,1.087,182.0,33450000.0
17031829800,Cook County,metro,2339,False,ffiec_ratio,False,76,356.0,182.0,47400000.0,0.0,0.0,0.0,182.0,47400000.0
55135101100,Waupaca County,rural,2344,True,ffiec_ratio,True,56,281.0,185.0,25765000.0,4.0,170000.0,2.162,181.0,25595000.0
55101001801,Racine County,metro,2209,False,ffiec_ratio,False,54,245.0,182.0,43450000.0,1.0,55000.0,0.549,181.0,43395000.0
17163503907,St. Clair County,metro,2110,False,ffiec_ratio,False,61,313.0,181.0,45655000.0,0.0,0.0,0.0,181.0,45655000.0
17197883516,Will County,metro,2397,False,ffiec_ratio,False,73,290.0,181.0,70185000.0,0.0,0.0,0.0,181.0,70185000.0
