tract_geoid,county_name,cbsa_title,tier,households,lmi_flag,household_growth,median_income,deposit_market_growth,competitor_saturation,unmet_mortgage_demand,contrib_household_growth,contrib_median_income,contrib_deposit_market_growth,contrib_competitor_saturation,contrib_unmet_mortgage_demand,components_present,opportunity_score,growth_is_estimated,tract_partly_unmeasured,lmi_undetermined,county_growth_heavily_adjusted,retail_basis_status
55045960100,Green County,"Madison, WI",metro,2690,False,1.004,99691,4.862,0.0,219.0,0.0263,0.0588,0.1093,0.3574,0.5391,5,1.091,False,False,False,False,measured
55073001204,Marathon County,"Wausau, WI",metro,1908,False,2.546,89397,6.882,0.0,125.0,0.1553,0.0179,0.383,0.3574,0.1752,5,1.0888,True,False,False,False,measured
55025010600,Dane County,"Madison, WI",metro,2548,False,2.145,120948,2.659,1.601,268.0,0.1217,0.1434,-0.1893,0.2825,0.7288,5,1.0871,True,False,False,False,measured
17095000300,Knox County,"Galesburg, IL",micro,2109,False,2.228,59010,12.498,9.365,79.0,0.1286,-0.103,1.1442,-0.0812,-0.0029,5,1.0858,False,False,False,False,measured
17167003901,Sangamon County,"Springfield, IL",metro,1965,False,0.96,116250,7.206,0.0,119.0,0.0226,0.1247,0.4269,0.3574,0.152,5,1.0836,True,False,False,False,measured
17091010201,Kankakee County,"Kankakee, IL",metro,913,False,5.188,134688,5.833,0.0,56.0,0.3762,0.198,0.2408,0.3574,-0.0919,5,1.0806,False,False,False,False,measured
55073001900,Marathon County,"Wausau, WI",metro,2506,False,1.715,85139,6.882,0.0,144.0,0.0857,0.0009,0.383,0.3574,0.2488,5,1.0758,False,False,False,False,measured
55045960200,Green County,"Madison, WI",metro,2298,False,0.853,106207,4.862,0.0,211.0,0.0137,0.0847,0.1093,0.3574,0.5082,5,1.0733,False,False,False,False,measured
55031030301,Douglas County,"Duluth, MN-WI",metro,1376,False,0.275,82500,8.741,0.0,111.0,-0.0347,-0.0096,0.635,0.3574,0.121,5,1.0691,True,False,False,False,measured
55105003002,Rock County,"Janesville-Beloit, WI",metro,2296,False,0.771,110724,3.865,2.25,267.0,0.0068,0.1027,-0.0259,0.2521,0.725,5,1.0606,False,False,False,False,measured
55131460101,Washington County,"Milwaukee-Waukesha, WI",metro,2249,False,-1.476,153407,4.101,0.0,236.0,-0.1812,0.2725,0.0061,0.3574,0.6049,5,1.0598,False,False,False,False,measured
55139002300,Winnebago County,"Oshkosh-Neenah, WI",metro,2507,False,3.483,126547,1.083,0.0,262.0,0.2336,0.1656,-0.4029,0.3574,0.7056,5,1.0594,False,False,False,False,measured
55047100300,Green Lake County,,rural,1359,False,1.275,63359,13.301,10.246,70.0,0.049,-0.0857,1.253,-0.1224,-0.0377,5,1.0561,False,False,False,False,measured
55025010905,Dane County,"Madison, WI",metro,3583,False,6.468,109982,2.659,8.459,257.0,0.4833,0.0997,-0.1893,-0.0387,0.6862,5,1.0413,True,False,False,False,measured
55047100100,Green Lake County,,rural,1420,False,-0.396,62411,13.301,7.461,67.0,-0.0908,-0.0895,1.253,0.008,-0.0493,5,1.0314,False,False,False,False,measured
55073001600,Marathon County,"Wausau, WI",metro,2273,False,-0.657,88777,6.882,0.0,180.0,-0.1126,0.0154,0.383,0.3574,0.3881,5,1.0313,False,False,False,False,measured
17197883505,Will County,"Chicago-Naperville-Elgin, IL-IN",metro,2820,False,2.284,155086,4.616,11.373,265.0,0.1333,0.2792,0.0758,-0.1752,0.7172,5,1.0304,False,False,False,False,measured
55009020504,Brown County,"Green Bay, WI",metro,2745,False,3.99,130406,2.607,7.754,280.0,0.276,0.181,-0.1964,-0.0057,0.7753,5,1.0303,False,False,False,True,measured
55025011301,Dane County,"Madison, WI",metro,2982,False,3.464,118243,2.659,8.666,312.0,0.232,0.1326,-0.1893,-0.0484,0.8992,5,1.0261,False,False,False,False,measured
17089854505,Kane County,"Chicago-Naperville-Elgin, IL-IN",metro,2416,False,2.396,173205,5.101,6.025,161.0,0.1427,0.3512,0.1416,0.0753,0.3146,5,1.0254,True,False,False,False,measured
55063010403,La Crosse County,"La Crosse-Onalaska, WI-MN",metro,2916,False,3.924,91706,8.411,8.514,125.0,0.2706,0.027,0.5902,-0.0413,0.1752,5,1.0218,True,False,False,False,measured
17201003801,Winnebago County,"Rockford, IL",metro,2448,False,1.463,95633,5.151,0.0,185.0,0.0647,0.0427,0.1484,0.3574,0.4075,5,1.0207,False,False,False,False,measured
55029100800,Door County,,rural,3064,False,3.668,61627,7.5,5.474,156.0,0.2491,-0.0926,0.4667,0.1011,0.2952,5,1.0195,False,False,False,False,measured
55031020500,Douglas County,"Duluth, MN-WI",metro,1186,False,4.341,93313,8.741,6.319,75.0,0.3054,0.0334,0.635,0.0615,-0.0183,5,1.0169,False,False,False,False,measured
55017010300,Chippewa County,"Eau Claire, WI",metro,2533,False,2.831,58245,7.827,4.915,158.0,0.1791,-0.1061,0.511,0.1273,0.303,5,1.0143,False,False,False,False,measured
55073001300,Marathon County,"Wausau, WI",metro,2977,False,3.007,94294,6.882,8.787,197.0,0.1938,0.0373,0.383,-0.0541,0.454,5,1.014,False,False,False,False,measured
17167003802,Sangamon County,"Springfield, IL",metro,2789,False,2.278,90074,7.206,2.682,131.0,0.1328,0.0206,0.4269,0.2318,0.1984,5,1.0105,False,False,False,False,measured
17089852806,Kane County,"Chicago-Naperville-Elgin, IL-IN",metro,2419,False,1.902,163542,5.101,5.971,175.0,0.1014,0.3128,0.1416,0.0778,0.3688,5,1.0024,False,False,False,False,measured
17031081900,Cook County,"Chicago-Naperville-Elgin, IL-IN",metro,741,False,10.197,225694,3.233,8.861,32.0,0.7953,0.56,-0.1116,-0.0575,-0.1848,5,1.0014,False,False,False,True,measured
55073001800,Marathon County,"Wausau, WI",metro,2183,False,0.457,92645,6.882,0.0,144.0,-0.0195,0.0308,0.383,0.3574,0.2488,5,1.0005,False,False,False,False,measured
55109120700,St. Croix County,"Minneapolis-St. Paul-Bloomington, MN-WI",metro,1890,False,1.366,88594,9.176,5.291,112.0,0.0566,0.0147,0.694,0.1097,0.1249,5,0.9997,False,False,False,False,measured
17097864402,Lake County,"Chicago-Naperville-Elgin, IL-IN",metro,2857,False,2.36,198291,2.585,3.194,183.0,0.1397,0.451,-0.1993,0.2079,0.3998,5,0.999,False,False,False,True,measured
17095000200,Knox County,"Galesburg, IL",micro,1248,False,-0.679,78370,12.498,8.858,93.0,-0.1145,-0.026,1.1442,-0.0574,0.0513,5,0.9976,False,False,False,False,measured
17095001500,Knox County,"Galesburg, IL",micro,1702,False,1.294,62526,12.498,7.646,51.0,0.0506,-0.089,1.1442,-0.0006,-0.1113,5,0.9938,False,False,False,False,measured
55109120201,St. Croix County,"Minneapolis-St. Paul-Bloomington, MN-WI",metro,2704,False,2.536,95822,9.176,12.286,162.0,0.1544,0.0434,0.694,-0.218,0.3185,5,0.9923,False,False,False,False,measured
55017011002,Chippewa County,"Eau Claire, WI",metro,1796,False,0.541,91250,7.827,0.0,108.0,-0.0125,0.0252,0.511,0.3574,0.1094,5,0.9906,True,False,False,False,measured
17093890302,Kendall County,"Chicago-Naperville-Elgin, IL-IN",metro,1997,False,-2.068,95239,10.204,6.942,160.0,-0.2307,0.0411,0.8332,0.0323,0.3107,5,0.9867,False,False,False,False,measured
