OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790377040656|17015960600|Census Tract 9606|190078030|20394714|G5020|S|20740377040656|17015960600|Census Tract 9606|190078030|20394714|G5020|S|190078030|20394714
20790261559003|17017960100|Census Tract 9601|305624350|1046915|G5020|S|20740261559003|17017960100|Census Tract 9601|305637231|1078843|G5020|S|305453776|1036868
20790261559003|17017960100|Census Tract 9601|305624350|1046915|G5020|S|20740261558954|17017960200|Census Tract 9602|236778409|320886|G5020|S|2233|0
20790261559003|17017960100|Census Tract 9601|305624350|1046915|G5020|S|20740261558979|17017960300|Census Tract 9603|425175809|18268646|G5020|S|8107|0
20790261559003|17017960100|Census Tract 9601|305624350|1046915|G5020|S|20740357360005|17125956600|Census Tract 9566|421442345|35121138|G5020|S|160234|10047
20790261558954|17017960200|Census Tract 9602|236761570|320886|G5020|S|20740261558954|17017960200|Census Tract 9602|236778409|320886|G5020|S|236761570|320886
20790261558979|17017960300|Census Tract 9603|425131838|18276599|G5020|S|20740261559003|17017960100|Census Tract 9601|305637231|1078843|G5020|S|8694|0
20790261558979|17017960300|Census Tract 9603|425131838|18276599|G5020|S|20740261558979|17017960300|Census Tract 9603|425175809|18268646|G5020|S|424964523|18261333
20790261558979|17017960300|Census Tract 9603|425131838|18276599|G5020|S|20740357360005|17125956600|Census Tract 9566|421442345|35121138|G5020|S|158621|15266
20790261559023|17017960400|Census Tract 9604|2247864|177782|G5020|S|20740261559023|17017960400|Census Tract 9604|2247864|177782|G5020|S|2247864|177782
20790261559047|17017960500|Census Tract 9605|3432582|747746|G5020|S|20740261559047|17017960500|Census Tract 9605|3432582|747746|G5020|S|3432582|747746
20790144585181|17019000200|Census Tract 2|1245325|0|G5020|S|20740144585181|17019000200|Census Tract 2|1414466|0|G5020|S|1229640|0
20790144585181|17019000200|Census Tract 2|1245325|0|G5020|S|20740144590054|17019005300|Census Tract 53|4616524|67784|G5020|S|15685|0
207903716801467|17019000301|Census Tract 3.01|452430|590|G5020|S|207403716801467|17019000301|Census Tract 3.01|456544|634|G5020|S|452430|590
207903716801459|17019000302|Census Tract 3.02|427640|0|G5020|S|207403716801459|17019000302|Census Tract 3.02|427640|0|G5020|S|427640|0
207903716801511|17019000401|Census Tract 4.01|250192|0|G5020|S|207403716801511|17019000401|Census Tract 4.01|254569|0|G5020|S|250192|0
207903716801468|17019000402|Census Tract 4.02|323642|0|G5020|S|207403716801468|17019000402|Census Tract 4.02|323642|0|G5020|S|323642|0
20790144587752|17019000500|Census Tract 5|1873077|0|G5020|S|20740144587752|17019000500|Census Tract 5|1873077|0|G5020|S|1873077|0
20790144578487|17019000700|Census Tract 7|2604688|65|G5020|S|20740144585181|17019000200|Census Tract 2|1414466|0|G5020|S|30611|0
20790144578487|17019000700|Census Tract 7|2604688|65|G5020|S|20740144578487|17019000700|Census Tract 7|2574578|65|G5020|S|2574077|65
20790144578948|17019000800|Census Tract 8|12424646|56|G5020|S|20740144578948|17019000800|Census Tract 8|12273649|56|G5020|S|12273627|56
20790144578948|17019000800|Census Tract 8|12424646|56|G5020|S|207403716801494|17019010604|Census Tract 106.04|258151626|83968|G5020|S|151019|0
20790144579423|17019000901|Census Tract 9.01|2742358|0|G5020|S|20740144579423|17019000901|Census Tract 9.01|2742358|0|G5020|S|2742358|0
20790144582689|17019000902|Census Tract 9.02|19624037|139|G5020|S|20740144582689|17019000902|Census Tract 9.02|19602860|139|G5020|S|19602860|139
20790144582689|17019000902|Census Tract 9.02|19624037|139|G5020|S|207403716801494|17019010604|Census Tract 106.04|258151626|83968|G5020|S|21177|0
20790144580847|17019001000|Census Tract 10|2487936|38363|G5020|S|20740144580847|17019001000|Census Tract 10|2487936|38363|G5020|S|2487936|38363
20790144589253|17019001100|Census Tract 11|2600941|0|G5020|S|20740144589253|17019001100|Census Tract 11|2600941|0|G5020|S|2600941|0
20790144581510|17019001201|Census Tract 12.01|3876315|0|G5020|S|20740144581510|17019001201|Census Tract 12.01|3876315|0|G5020|S|3876315|0
