ZIP,INSAGNT1,BKCLASS,CNTRYNAB,ZIPBR,CHRTAGNT,MSABR,UNINUMBR,STNAME,SIMS_ESTABLISHED_DATE,YEAR,CHRTAGNN,BRSERTYP,STNUMBR,SIMS_DESCRIPTION,FDICDBS,DOCKET,CNTRYNA,NAMEHCR,UNIT,OCCDIST,DEPSUM,DEPDOM,ESCROW,CITY2BR,HCTMULT,INSURED,SIMS_PROJECTION,BRCENM,CHARTER,BKMO,CONSOLD,DIVISIONB,ADDRESS,CSABR,DEPSUMBR,RSSDHCR,CNTYNUMB,CERT,SIMS_LATITUDE,STALP,SPECGRP,CALL,DENOVO,FDICNAME,RSSDID,NAMEBR,METROBR,NECNAMB,CNTYNAMB,SPECDESC,OCCNAME,NECTABR,SIMS_ACQUIRED_DATE,MICROBR,BRNUM,CB,STALPBR,USA,STNAMEBR,FED,REGAGNT,FEDNAME,ASSET,INSBRTS,PLACENUM,ADDRESBR,SIMS_LONGITUDE,INSBRDD,CITYHCR,STCNTY,CSANAMBR,CITY,CLCODE,STCNTYBR,CBSA_DIV_NAMB,MSANAMB,NAMEFULL,CITYBR,STALPHCR,ID
57104,DIF,N,United States,54220,OCC,0,16652,South Dakota,5/24/1982,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Manitowoc,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,0,47667,1120754,71,3511,44.083514,SD,9,CALL,0,Kansas City,451965,Manitowoc Branch,0,,Manitowoc,ALL OTHER > $1 BILLION,West District,0,2/20/2004,1,4980,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,3600 Calumet Avenue,-87.691406,,SAN FRANCISCO,46099,,Sioux Falls,3,55071,,,"Wells Fargo Bank, National Association",Manitowoc,CA,2019_3511_4980
57104,DIF,N,United States,53083,OCC,43100,187697,South Dakota,6/1/1983,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Sheboygan,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,0,47473,1120754,117,3511,43.775077,SD,9,CALL,0,Kansas City,451965,Sheboygan North Branch,1,,Sheboygan,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4982,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,2800 Calumet Drive,-87.737674,,SAN FRANCISCO,46099,,Sioux Falls,3,55117,,"Sheboygan, WI","Wells Fargo Bank, National Association",Sheboygan,CA,2019_3511_4982
57104,DIF,N,United States,53151,OCC,33340,246288,South Dakota,1/1/1992,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,New Berlin,MULT,CB,US_RoofTop,,FED,0,,0,101 N. Phillips Avenue,376,95169,1120754,133,3511,42.99539,SD,9,CALL,0,Kansas City,451965,New Berlin Branch,1,,Waukesha,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4986,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,16001 West Cleveland Avenue,-88.114612,,SAN FRANCISCO,46099,"Milwaukee-Racine-Waukesha, WI",Sioux Falls,3,55133,,"Milwaukee-Waukesha, WI","Wells Fargo Bank, National Association",New Berlin,CA,2019_3511_4986
57104,DIF,N,United States,53073,OCC,43100,246290,South Dakota,5/22/1984,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Plymouth,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,0,40451,1120754,117,3511,43.747111,SD,9,CALL,0,Kansas City,451965,Plymouth East Branch,1,,Sheboygan,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4987,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,2110 Eastern Avenue,-87.956147,,SAN FRANCISCO,46099,,Sioux Falls,3,55117,,"Sheboygan, WI","Wells Fargo Bank, National Association",Plymouth,CA,2019_3511_4987
57104,DIF,N,United States,54302,OCC,24580,11788,South Dakota,3/17/1958,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Green Bay,MULT,CB,US_RoofTop,,FED,0,,0,101 N. Phillips Avenue,267,93495,1120754,9,3511,44.512321,SD,9,CALL,0,Kansas City,451965,Green Bay University Branch,1,,Brown,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4988,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,1819 University Avenue,-87.977299,,SAN FRANCISCO,46099,"Green Bay-Shawano, WI",Sioux Falls,3,55009,,"Green Bay, WI","Wells Fargo Bank, National Association",Green Bay,CA,2019_3511_4988
57104,DIF,N,United States,54301,OCC,24580,242961,South Dakota,5/1/1985,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Green Bay,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,267,191711,1120754,9,3511,44.486745,SD,9,CALL,0,Kansas City,451965,Banking House Of Allouez Branch,1,,Brown,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4989,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,1900 South Webster Avenue,-88.020258,,SAN FRANCISCO,46099,"Green Bay-Shawano, WI",Sioux Falls,3,55009,,"Green Bay, WI","Wells Fargo Bank, National Association",Green Bay,CA,2019_3511_4989
57104,DIF,N,United States,53226,OCC,33340,246291,South Dakota,2/1/1994,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Milwaukee,MULT,CB,US_RoofTop,,FED,0,,0,101 N. Phillips Avenue,376,173155,1120754,79,3511,43.066907,SD,9,CALL,0,Kansas City,451965,Mayfair Branch,1,,Milwaukee,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4990,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,2675 North Mayfair Road,-88.047927,,SAN FRANCISCO,46099,"Milwaukee-Racine-Waukesha, WI",Sioux Falls,3,55079,,"Milwaukee-Waukesha, WI","Wells Fargo Bank, National Association",Wauwatosa,CA,2019_3511_4990
57104,DIF,N,United States,54911,OCC,11540,246292,South Dakota,4/4/1994,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Appleton,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,118,54426,1120754,87,3511,44.295538,SD,9,CALL,0,Kansas City,451965,Ballard Branch,1,,Outagamie,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4991,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,3321 North Ballard Road,-88.375142,,SAN FRANCISCO,46099,"Appleton-Oshkosh-Neenah, WI",Sioux Falls,3,55087,,"Appleton, WI","Wells Fargo Bank, National Association",Appleton,CA,2019_3511_4991
57104,DIF,N,United States,53963,OCC,22540,7163,South Dakota,6/3/1903,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Waupun,MULT,CB,US_RoofTop,,FED,0,,0,101 N. Phillips Avenue,0,89479,1120754,39,3511,43.633817,SD,9,CALL,0,Kansas City,451965,Waupun Branch,1,,Fond du Lac,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4992,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,37 North Madison Street,-88.729801,,SAN FRANCISCO,46099,,Sioux Falls,3,55039,,"Fond du Lac, WI","Wells Fargo Bank, National Association",Waupun,CA,2019_3511_4992
57104,DIF,N,United States,54701,OCC,20740,207598,South Dakota,2/22/1961,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Eau Claire,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,232,53732,1120754,35,3511,44.810485,SD,9,CALL,0,Kansas City,451965,Eau Claire Downtown Branch,1,,Eau Claire,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4994,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,310 Graham Avenue,-91.500193,,SAN FRANCISCO,46099,"Eau Claire-Menomonie, WI",Sioux Falls,3,55035,,"Eau Claire, WI","Wells Fargo Bank, National Association",Eau Claire,CA,2019_3511_4994
