CITY,ACTIVE,FED_RSSD,CERT,STALP,NAME,ID,ASSET
Milwaukee,0,612140,12067,WI,"First Bank Southeast, National Association",12067,242426
Foley,0,619233,12069,AL,First Alabama Bank of South Baldwin,12069,50451
Terryville,0,119304,12072,CT,The Terryville Trust Company,12072,
Westport,0,716806,12075,CT,The Westport Bank and Trust Company,12075,312503
Trenton,0,289832,12077,FL,Farmers & Merchants Bank of Trenton,12077,37858
Greenville,0,501039,12078,GA,The Greenville Banking Company,12078,28174
Hahira,1,564838,12079,GA,Citizens Community Bank,12079,218140
Mount Pleasant,0,112163,1208,TX,"Guaranty Bank & Trust, N.A.",1208,3108145
Reidsville,0,644936,12080,GA,The Tattnall Bank,12080,49612
Peoria,0,662640,12082,IL,South Side Trust & Savings Bank of Peoria,12082,712873
Sainte Marie,1,363442,12086,IL,Sainte Marie State Bank,12086,20729
Spring Valley,1,452841,12087,IL,Spring Valley City Bank,12087,209443
Varna,0,356145,12089,IL,Marshall County State Bank,12089,28191
Nacogdoches,1,885869,1209,TX,"Commercial Bank of Texas, National Association",1209,1707118
Camp Point,0,611246,12091,IL,Farmers State Bank of Camp Point,12091,50522
Clinton,0,223238,12093,IL,The John Warner Bank,12093,69609
Allerton,0,650834,12094,IL,The State Bank of Allerton,12094,19346
Biggsville,0,385631,12095,IL,First State Bank of Biggsville,12095,20300
Dongola,1,630041,12098,IL,The First State Bank of Dongola,12098,35336
Davenport,0,729637,12099,IA,"Metrobank, National Association",12099,543301
Dallas,0,645465,1210,TX,Vista Bank,1210,2541208
Ladd,0,636333,12102,IL,Bank of Ladd,12102,32853
Taylorville,0,26149,12103,IL,Palmer Bank,12103,94958
Paxton,0,652445,12104,IL,Farmers-Merchants National Bank of Paxton,12104,109874
Elmwood,1,921936,12107,IL,Farmers State Bank,12107,70137
Evansville,0,711043,12108,IL,Bank of Evansville,12108,7532
Peoria,0,31648,12109,IL,"Bank One, Peoria",12109,299384
Richardson,0,737164,1211,TX,First City Bank of Richardson,1211,240051
Potomac,0,932549,12110,IL,City Potomac Bank,12110,12113
Breese,1,830748,12113,IL,Germantown Trust & Savings Bank,12113,518990
Martinsville,0,167248,12114,IL,Martinsville State Bank,12114,21638
Palestine,0,337041,12115,IL,Farmer's State Bank of Palestine,12115,56909
Macomb,0,786041,12116,IL,Union Bank/West,12116,159940
Prairie Du Rocher,0,345149,12117,IL,State Bank of Prairie du Rocher,12117,65232
Bettendorf,0,1003642,12119,IA,"The Rock Island Bank, National Association",12119,514751
Sparta,0,250841,12120,IL,Magna Bank of Randolph County,12120,15592
Buckley,1,316934,12121,IL,Buckley State Bank,12121,50547
Haubstadt,0,169046,12123,IN,Haubstadt State Bank,12123,45980
Worthington,0,808149,12124,IN,Worthington State Bank,12124,36646
Sigourney,0,477844,12126,IA,County Bank,12126,230450
Spillville,1,544447,12128,IA,Citizens Savings Bank,12128,147515
West Burlington,0,439141,12129,IA,West Burlington Bank,12129,63879
Houston,1,2891622,1213,TX,"Cornerstone Capital Bank, SSB",1213,3798501
Sigourney,0,415640,12131,IA,Boatmen's Bank of Sigourney,12131,39337
Donnellson,0,671941,12132,IA,Citizens State Bank,12132,
Ellinwood,0,832153,12133,KS,The Peoples State Bank and Trust Company,12133,56946
Lyndon,1,136655,12135,KS,The Lyndon State Bank,12135,111391
Wilson,1,501655,12136,KS,The Wilson State Bank,12136,127707
Spearville,1,540850,12139,KS,Ford County State Bank,12139,58852
Rusk,0,667962,1214,TX,"Austin Bank, Rusk, Texas",1214,58627
Kiowa,0,2059,12142,KS,The Bank of Kiowa,12142,10924
Beaver Dam,0,695545,12144,KY,Kentucky Trust Bank,12144,111175
Owensboro,0,550242,12147,KY,"Farmers Bank, National Association",12147,223907
Hopkinsville,0,622644,12148,KY,First City Bank and Trust Company,12148,427413
Irvington,1,565143,12149,KY,First State Bank,12149,414467
Shiro,0,250663,1215,TX,"Farmers State Bank of Shiro, Texas",1215,4601
Harrodsburg,0,538240,12157,KY,State Bank & Trust Company,12157,97892
Murray,0,404345,12158,KY,Bank of Murray,12158,260226
Silsbee,0,404569,1216,TX,Silsbee State Bank,1216,161076
Dayton,0,858612,12160,KY,"Huntington Bank of Campbell County, Inc.",12160,20625
Dawson Springs,0,844745,12161,KY,Commercial Bank of Dawson,12161,29636
Elkton,1,998648,12162,KY,Elkton Bank & Trust Company,12162,197405
Milton,1,265340,12163,KY,The Farmers Bank of Milton,12163,312925
Salem,0,57648,12164,KY,The Salem Bank,12164,41249
Vanceburg,0,344816,12165,KY,Citizens Deposit Bank & Trust,12165,654258
Radcliff,1,79042,12166,KY,West Point Bank,12166,570546
Madisonville,0,440941,12167,KY,Liberty National Bank of Madisonville,12167,162722
